SÍNTOMA,CAUSA
Descamación,Lubricación
Descamación,Instalación
Descamación,Instalación
Descamación en intervalo de bolas,Instalación
Descamación en la pista,Instalación
Descamación,Instalación
Descamación,Instalación
Descamación,Carga 
Descamación,Carga 
Descamación,Lubricación
Puntos y deterioro,Lubricación
Deterioro,Lubricación
Deterioro,Carga 
Deterioro,Carga 
Corrosión,Vibración
Corrosión,Instalación
Corrosión,Lubricación
Desgaste,Vibración
Desgaste,Vibración
Desgaste,Vibración
Desgaste,Vibración
Deslizamiento y excoriaciones,Carga 
Marcas ,Instalación
Pista con alteración ,Lubricación
Rodillos con alteración ,Lubricación
Alteración de color ,Instalación
Alteración de color,Instalación
Jaula derretida ,Instalación
Deterioro,Condiciones eléctricas
Deterioro,Condiciones eléctricas
Pitting,Condiciones eléctricas
Color oscuro .,Condiciones eléctricas
Derretimiento,Condiciones eléctricas
Derretimiento,Condiciones eléctricas
Oxidacion,Lubricación
Oxidacion,Lubricación
Corrosion,Lubricación
Corrosion,Lubricación
Rayadura,Instalación
Rayadura,Instalación
Rayadura,Instalación
Coloracion,Lubricación
Coloracion,Lubricación
Desgaste o descascarado,Lubricación
Desgaste o descascarado,Lubricación
Desgaste o descascarado,Lubricación
Rayadura,Aceleraciones 
Rayadura,Aceleraciones 
Rayadura,Carga 
Rayadura,Lubricación
Rayadura,Lubricación
Rayadura,Lubricación
Rayadura,Lubricación
Patinaje,Lubricación
Patinaje,Lubricación
Patinaje,Lubricación
Patinaje,Lubricación
Patinaje,Lubricación
Patinaje,Lubricación
Patinaje,Lubricación
Astillas en la pestaña del centro.,Instalación
Fractura en la pestaña ,Instalación
Fractura en la pestaña ,Carga 
Fractura en la pestaña del anillo externo.,Carga 
Grietas térmicas en la cara del aro externo.,Temperatura
Grietas térmicas en la cara de los rodillos.,Lubricación
Rajaduras ,Carga 
Rajaduras en la superficie externa,Temperatura
Rajaduras axiales en la superficie de la pista,Temperatura
Jaula dañada,Instalación
Jaula dañada,Lubricación
Jaula dañada,Carga 
Jaula dañada,Instalación
Jaula dañada,Instalación
Jaula dañada,Lubricación
Abolladura,Lubricación
Impresiones en pista,Lubricación
Abolladura,Lubricación
Abolladura,Lubricación
Pitting,Lubricación
Pitting,Lubricación